,count,log_count,grid_count,log_grid,FRDBI_count,log_FRDBI_count,FRDBI_grid,log_FRDBI_grid,logit_grid,logit_FRDB_grid,,
Botrytis cinerea,28,1.447158031,12,1.079181246,613,2.787460475,177,2.247973266,-1.700415245,-1.118075943,,
Botrytis fabae,1,0,1,0,29,1.462397998,16,1.204119983,-2.787460475,-2.191031609,,
Botrytis galanthina,1,0,1,0,7,0.84509804,5,0.698970004,-2.787460475,-2.698100546,,
Bovista aestivalis,2,0.301029996,2,0.301029996,65,1.812913357,46,1.662757832,-2.485721426,-1.727116727,,
Bovista nigrescens,27,1.431363764,18,1.255272505,1094,3.039017322,576,2.760422483,-1.519973755,-0.523782584,,
Bovista plumbea,65,1.812913357,33,1.51851394,1394,3.144262774,619,2.791690649,-1.245662193,-0.482698147,,
Bremia lactucae,3,0.477121255,1,0,358,2.553883027,174,2.240549248,-2.787460475,-1.126060462,,
Brevicellicium olivascens,1,0,1,0,189,2.276461804,117,2.068185862,-2.787460475,-1.308938181,,
Bulbillomyces farinosus,2,0.301029996,2,0.301029996,375,2.574031268,193,2.285557309,-2.485721426,-1.077490286,,
Bulgaria inquinans,96,1.982271233,43,1.633468456,1825,3.261262869,624,2.79518459,-1.123167653,-0.478048244,,
Byssocorticium atrovirens,1,0,1,0,22,1.342422681,14,1.146128036,-2.787460475,-2.249373089,,
Byssocorticium terrestre,4,0.602059991,4,0.602059991,8,0.903089987,6,0.77815125,-2.183269844,-2.618745199,,
Byssomerulius corium,59,1.770852012,40,1.602059991,2096,3.321391278,606,2.782472624,-1.156851901,-0.494907351,,
Byssonectria fusispora,1,0,1,0,83,1.919078092,41,1.612783857,-2.787460475,-1.777974672,,
Calcarisporium arbuscula,130,2.113943352,51,1.707570176,144,2.158362492,73,1.86332286,-1.042938219,-1.521746916,,
Calloria neglecta,59,1.770852012,29,1.462397998,1358,3.13289977,505,2.703291378,-1.304757868,-0.596651522,,
Calocera cornea,181,2.257678575,66,1.819543936,3200,3.505149978,872,2.940516485,-0.919236623,-0.271137916,,
Calocera furcata,1,0,1,0,54,1.73239376,34,1.531478917,-2.787460475,-1.860514155,,
Calocera glossoides,2,0.301029996,2,0.301029996,273,2.436162647,138,2.139879086,-2.485721426,-1.233400807,,
Calocera pallidospathulata,13,1.113943352,11,1.041392685,3153,3.498723971,683,2.834420704,-1.738924627,-0.424934224,,
Calocera viscosa,250,2.397940009,63,1.799340549,4654,3.667826379,1045,3.01911629,-0.941811049,-0.143746703,,
Calocybe gambosa,126,2.100370545,49,1.69019608,1994,3.299725154,611,2.78604121,-1.061852368,-0.490190748,,
Calvatia gigantea,33,1.51851394,23,1.361727836,1321,3.120902818,637,2.804139432,-1.409859645,-0.466073423,,
Calycellina chlorinella,1,0,1,0,44,1.643452676,27,1.431363764,-2.787460475,-1.961860352,,
Calycellina ochracea,4,0.602059991,4,0.602059991,57,1.755874856,36,1.556302501,-2.183269844,-1.835338203,,
Calycellina punctata,2,0.301029996,2,0.301029996,238,2.376576957,109,2.037426498,-2.485721426,-1.341153078,,
Calycina herbarum,7,0.84509804,7,0.84509804,685,2.835690571,227,2.356025857,-1.938090651,-1.000573579,,
Calyptella capula,4,0.602059991,3,0.477121255,721,2.857935265,345,2.537819095,-2.308919956,-0.795628179,,
Camaropella lutea,1,0,1,0,143,2.155336037,79,1.897627091,-2.787460475,-1.486367698,,
Camarophyllopsis atropuncta,2,0.301029996,1,0,82,1.913813852,37,1.568201724,-2.787460475,-1.823262688,,
Camarophyllopsis foetens,1,0,1,0,96,1.982271233,35,1.544068044,-2.787460475,-1.847748879,,
Camarops microspora,1,0,1,0,17,1.230448921,13,1.113943352,-2.787460475,-2.281732433,,
Camarops polysperma,1,0,1,0,75,1.875061263,36,1.556302501,-2.787460475,-1.835338203,,
Camarops tubulina,1,0,1,0,11,1.041392685,9,0.954242509,-2.787460475,-2.442131218,,
Camarosporium aequivocum,1,0,1,0,3,0.477121255,3,0.477121255,-2.787460475,-2.920297288,,
Camarosporium lauri,1,0,1,0,10,1,9,0.954242509,-2.787460475,-2.442131218,,
Cantharellus amethysteus,1,0,1,0,107,2.029383778,60,1.77815125,-2.787460475,-1.609238576,,
Cantharellus cibarius,145,2.161368002,43,1.633468456,3904,3.591509809,885,2.946943271,-1.123167653,-0.261229256,,
Cantharellus cinereus,3,0.477121255,3,0.477121255,133,2.123851641,82,1.913813852,-2.308919956,-1.469642444,,
Cantharellus ferruginascens,1,0,1,0,51,1.707570176,27,1.431363764,-2.787460475,-1.961860352,,
Cantharellus tubaeformis,65,1.812913357,33,1.51851394,1544,3.188647296,457,2.6599162,-1.245662193,-0.650352167,,
Capronia nigerrima,1,0,1,0,127,2.103803721,75,1.875061263,-2.787460475,-1.50965048,,
Catinella olivacea,2,0.301029996,2,0.301029996,131,2.117271296,69,1.838849091,-2.485721426,-1.546935868,,
Cenangium ferruginosum,1,0,1,0,73,1.86332286,46,1.662757832,-2.787460475,-1.727116727,,
Cephalotrichum purpureofuscum,1,0,1,0,21,1.322219295,10,1,-2.787460475,-2.396199347,,
Ceraceomyces borealis,1,0,1,0,41,1.612783857,12,1.079181246,-2.787460475,-2.31666913,,
Ceraceomyces crispatus,12,1.079181246,9,0.954242509,28,1.447158031,20,1.301029996,-1.827512865,-2.093421685,,
Ceraceomyces sublaevis,2,0.301029996,2,0.301029996,25,1.397940009,16,1.204119983,-2.485721426,-2.191031609,,
