,count,log_count,National_count,log_National_count,National_grid,log_National_grid,National_grid_p,logit_National_grid,,
Gymnopus peronatus,205,2.311753861,403,2.605305046,108,2.033423755,0.231263383,-0.521670693,,
Hebeloma crustuliniforme,77,1.886490725,179,2.252853031,82,1.913813852,0.175588865,-0.671646877,,
Hebeloma mesophaeum,8,0.903089987,103,2.012837225,56,1.748188027,0.119914347,-0.865653795,,
Hebeloma radicosum,19,1.278753601,101,2.004321374,54,1.73239376,0.115631692,-0.883556292,,
Hebeloma sinapizans,25,1.397940009,291,2.463892989,85,1.929418926,0.182012848,-0.652644437,,
Hohenbuehelia myxotricha,1,0,23,1.361727836,17,1.230448921,0.03640257,-1.422763592,,
Hydropus subalpinus,4,0.602059991,113,2.053078443,54,1.73239376,0.115631692,-0.883556292,,
Hygrophoropsis aurantiaca,170,2.230448921,193,2.285557309,77,1.886490725,0.164882227,-0.704573882,,
Hygrophorus agathosmus,1,0,395,2.596597096,106,2.025305865,0.226980728,-0.532201337,,
Hygrophorus eburneus,1807,3.256958153,365,2.562292864,99,1.995635195,0.211991435,-0.570212624,,
Hygrophorus marzuolus,1,0,34,1.531478917,22,1.342422681,0.047109208,-1.30593733,,
Hygrophorus mesotephrus,12,1.079181246,4,0.602059991,4,0.602059991,0.00856531,-2.063521,,
Hygrophorus pustulatus,39,1.591064607,240,2.380211242,87,1.939519253,0.186295503,-0.640264344,,
Hymenopellis radicata,203,2.307496038,620,2.792391689,124,2.093421685,0.265524625,-0.441872435,,
Hypholoma capnoides,271,2.432969291,482,2.683047038,154,2.187520721,0.329764454,-0.308023617,,
Hypholoma fasciculare,7234,3.859378504,986,2.993876915,166,2.220108088,0.355460385,-0.258458408,,
Hypholoma lateritium,487,2.687528961,301,2.478566496,114,2.056904851,0.244111349,-0.490869854,,
Hypholoma radicosum,3,0.477121255,62,1.792391689,35,1.544068044,0.074946467,-1.091415702,,
Imleria badia,651,2.813580989,649,2.812244697,139,2.1430148,0.29764454,-0.372859043,,
Inocybe acuta,2,0.301029996,100,2,58,1.763427994,0.124197002,-0.848295314,,
Inocybe assimilata,70,1.84509804,113,2.053078443,63,1.799340549,0.13490364,-0.807040816,,
Inocybe asterospora,14,1.146128036,59,1.770852012,37,1.568201724,0.079229122,-1.065266732,,
Inocybe catalaunica,211,2.324282455,39,1.591064607,32,1.505149978,0.068522484,-1.133339279,,
Inocybe cincinnata,29,1.462397998,137,2.136720567,69,1.838849091,0.147751606,-0.761033981,,
Inocybe cookei,7,0.84509804,54,1.73239376,37,1.568201724,0.079229122,-1.065266732,,
Inocybe flocculosa,62,1.792391689,118,2.071882007,67,1.826074803,0.143468951,-0.775985189,,
Inocybe fuscidula,2,0.301029996,204,2.309630167,104,2.017033339,0.222698073,-0.542873286,,
Inocybe geophylla,33,1.51851394,688,2.837588438,169,2.227886705,0.361884368,-0.246329559,,
Inocybe griseolilacina,29,1.462397998,39,1.591064607,29,1.462397998,0.062098501,-1.179076113,,
Inocybe hirtella,454,2.657055853,76,1.880813592,45,1.653212514,0.096359743,-0.972099937,,
Inocybe hystrix,5,0.698970004,6,0.77815125,6,0.77815125,0.012847966,-1.885549675,,
Inocybe nitidiuscula,45,1.653212514,200,2.301029996,93,1.968482949,0.199143469,-0.604388654,,
Inocybe petiginosa,1007,3.003029471,105,2.021189299,57,1.755874856,0.122055675,-0.856909001,,
Inocybe pusio,4,0.602059991,21,1.322219295,16,1.204119983,0.034261242,-1.450056559,,
Kuehneromyces mutabilis,6946,3.841734779,664,2.822168079,133,2.123851641,0.284796574,-0.399894826,,
Laccaria amethystina,12524,4.097743059,744,2.871572936,166,2.220108088,0.355460385,-0.258458408,,
Laccaria bicolor,4,0.602059991,57,1.755874856,37,1.568201724,0.079229122,-1.065266732,,
Laccaria laccata,1631,3.212453961,782,2.893206753,183,2.26245109,0.391862955,-0.19086725,,
Lactarius acris,101,2.004321374,120,2.079181246,57,1.755874856,0.122055675,-0.856909001,,
Lactarius albocarneus,1,0,41,1.612783857,30,1.477121255,0.064239829,-1.163360182,,
Lactarius aurantiacus,285,2.45484486,303,2.481442629,105,2.021189299,0.2248394,-0.537519271,,
Lactarius blennius,2891,3.461048092,362,2.558708571,101,2.004321374,0.21627409,-0.559159712,,
Lactarius camphoratus,479,2.680335513,310,2.491361694,78,1.892094603,0.167023555,-0.697854999,,
Lactarius deterrimus,76,1.880813592,767,2.884795364,163,2.212187604,0.349036403,-0.270685979,,
Lactarius fuliginosus,32,1.505149978,144,2.158362492,47,1.672097858,0.100642398,-0.951151432,,
Lactarius lignyotus,1,0,197,2.294466226,69,1.838849091,0.147751606,-0.761033981,,
Lactarius pallidus,190,2.278753601,391,2.592176757,95,1.977723605,0.203426124,-0.592819335,,
Lactarius pergamenus,41,1.612783857,39,1.591064607,24,1.380211242,0.051391863,-1.266192485,,
Lactarius picinus,6,0.77815125,319,2.503790683,96,1.982271233,0.205567452,-0.587102677,,
Lactarius piperatus,239,2.378397901,310,2.491361694,49,1.69019608,0.104925054,-0.930980202,,
Lactarius porninsis,10,1,130,2.113943352,54,1.73239376,0.115631692,-0.883556292,,
Lactarius pterosporus,30,1.477121255,107,2.029383778,46,1.662757832,0.098501071,-0.961524264,,
Lactarius quietus,7,0.84509804,241,2.382017043,74,1.86923172,0.158458244,-0.725160831,,
Lactarius romagnesii,1,0,13,1.113943352,9,0.954242509,0.019271949,-1.706622969,,
Lactarius rufus,2,0.301029996,266,2.424881637,84,1.924279286,0.17987152,-0.658919488,,
Lactarius subdulcis,100,2,215,2.33243846,72,1.857332496,0.154175589,-0.739264599,,
Lactarius uvidus,7,0.84509804,165,2.217483944,46,1.662757832,0.098501071,-0.961524264,,
Lactarius vellereus,2,0.301029996,178,2.250420002,69,1.838849091,0.147751606,-0.761033981,,
Lactarius volemus,20,1.301029996,161,2.206825876,60,1.77815125,0.128479657,-0.831443159,,
Lentinellus cochleatus,22,1.342422681,133,2.123851641,60,1.77815125,0.128479657,-0.831443159,,
Lepiota clypeolaria,25,1.397940009,188,2.274157849,67,1.826074803,0.143468951,-0.775985189,,
Lepiota cristata,2,0.301029996,302,2.480006943,114,2.056904851,0.244111349,-0.490869854,,
Lepiota magnispora,16,1.204119983,155,2.190331698,64,1.806179974,0.137044968,-0.799125072,,
Lepista nuda,3,0.477121255,583,2.765668555,134,2.127104798,0.286937901,-0.395339435,,
Leucocortinarius bulbiger,1,0,57,1.755874856,36,1.556302501,0.077087794,-1.078174769,,
Lycoperdon echinatum,7,0.84509804,128,2.10720997,63,1.799340549,0.13490364,-0.807040816,,
Lycoperdon excipuliforme,6,0.77815125,94,1.973127854,53,1.72427587,0.113490364,-0.892724472,,
Lycoperdon mammiforme,1,0,27,1.431363764,19,1.278753601,0.040685225,-1.372524413,,
Lycoperdon nigrescens,95,1.977723605,95,1.977723605,48,1.681241237,0.102783726,-0.940972786,,
Lycoperdon perlatum,160,2.204119983,717,2.855519156,162,2.209515015,0.346895075,-0.274784825,,
Lycoperdon pyriforme,421,2.624282096,495,2.694605199,123,2.089905111,0.263383298,-0.446653331,,
Lycoperdon umbrinum,156,2.193124598,100,2,54,1.73239376,0.115631692,-0.883556292,,
Lyophyllum decastes,10,1,159,2.201397124,68,1.832508913,0.145610278,-0.768463983,,
Lyophyllum fumosum,4,0.602059991,51,1.707570176,34,1.531478917,0.072805139,-1.105008979,,
Macrocystidia cucumis,5,0.698970004,120,2.079181246,71,1.851258349,0.152034261,-0.746436837,,
Macrolepiota excoriata,1,0,32,1.505149978,25,1.397940009,0.053533191,-1.247482261,,
Macrolepiota procera,9,0.954242509,312,2.494154594,99,1.995635195,0.211991435,-0.570212624,,
Marasmius cohaerens,25,1.397940009,128,2.10720997,70,1.84509804,0.149892934,-0.753692467,,
Marasmius torquescens,600,2.77815125,218,2.338456494,84,1.924279286,0.17987152,-0.658919488,,
Marasmius wynneae,10,1,145,2.161368002,68,1.832508913,0.145610278,-0.768463983,,
Megacollybia platyphylla,156,2.193124598,840,2.924279286,140,2.146128036,0.299785867,-0.368419717,,
Melanogaster macrosporus,1,0,1,0,1,0,0.002141328,-2.668385917,,
Melanoleuca melaleuca,3,0.477121255,75,1.875061263,36,1.556302501,0.077087794,-1.078174769,,
Mucidula mucida,115,2.06069784,207,2.315970345,70,1.84509804,0.149892934,-0.753692467,,
Mycena diosma,53,1.72427587,11,1.041392685,10,1,0.021413276,-1.6599162,,
Mycena epipterygia,108,2.033423755,474,2.675778342,146,2.164352856,0.312633833,-0.342152177,,
Mycena flavescens,13,1.113943352,142,2.152288344,57,1.755874856,0.122055675,-0.856909001,,
Mycena galericulata,29,1.462397998,542,2.733999287,150,2.176091259,0.321199143,-0.324968003,,
Mycena galopus,1362,3.134177108,659,2.818885415,157,2.195899652,0.336188437,-0.295462041,,
Mycena haematopus,6,0.77815125,191,2.281033367,95,1.977723605,0.203426124,-0.592819335,,
Mycena pelianthina,305,2.484299839,206,2.31386722,81,1.908485019,0.173447537,-0.678102286,,
Mycena polygramma,3,0.477121255,199,2.298853076,80,1.903089987,0.17130621,-0.684620978,,
